ABSENCE [('Ost-Berlin', 0.24294942617416382), ('sowjetischen_Streitkraefte', 0.24120886623859406), ('Kriegszeiten', 0.23022602498531342), ('Otto_Grotewohl', 0.22882062196731567), ('DDR-', 0.2279011607170105), ('Frankfurter_Westend', 0.2263510525226593), ('DDR-Regimes', 0.22561179101467133), ('Rabat', 0.22538001835346222), ('DDR-Buerger', 0.224553644657135), ('DDR', 0.22431010007858276)] Abwesenheit 0
Inch [('Gemeinschaft_Unabhaengiger', 0.18374024331569672), ('engmaschig', 0.16212432086467743), ('Kasachische', 0.16041025519371033), ('kasachische', 0.15736939013004303), ('niederlaendischen_Fussballnationalmannschaft', 0.15680231153964996), ('Fleischbeschau', 0.15599022805690765), ('Kroatische', 0.15398848056793213), ('kasachischen', 0.15309244394302368), ('zypriotischer', 0.1526554971933365), ('baltischen', 0.15160328149795532)] Zoll 0
Inch [('Gemeinschaft_Unabhaengiger', 0.18374024331569672), ('engmaschig', 0.16212432086467743), ('Kasachische', 0.16041025519371033), ('kasachische', 0.15736939013004303), ('niederlaendischen_Fussballnationalmannschaft', 0.15680231153964996), ('Fleischbeschau', 0.15599022805690765), ('Kroatische', 0.15398848056793213), ('kasachischen', 0.15309244394302368), ('zypriotischer', 0.1526554971933365), ('baltischen', 0.15160328149795532)] Zoll 0
increase [('Anson', 0.229688361287117), ('Den_Streckenrekord', 0.2033858597278595), ('haelt', 0.20254459977149963), ('segelnden', 0.20200115442276), ('Haendchen', 0.2014794945716858), ('segeln', 0.19691847264766693), ('geschlagenen', 0.19678987562656403), ('australische', 0.194381445646286), ('australischen', 0.19416140019893646), ('tadelt', 0.19345679879188538)] ansteigen 0
increase [('Anson', 0.229688361287117), ('Den_Streckenrekord', 0.2033858597278595), ('haelt', 0.20254459977149963), ('segelnden', 0.20200115442276), ('Haendchen', 0.2014794945716858), ('segeln', 0.19691847264766693), ('geschlagenen', 0.19678987562656403), ('australische', 0.194381445646286), ('australischen', 0.19416140019893646), ('tadelt', 0.19345679879188538)] Anstieg 0
increase [('Anson', 0.229688361287117), ('Den_Streckenrekord', 0.2033858597278595), ('haelt', 0.20254459977149963), ('segelnden', 0.20200115442276), ('Haendchen', 0.2014794945716858), ('segeln', 0.19691847264766693), ('geschlagenen', 0.19678987562656403), ('australische', 0.194381445646286), ('australischen', 0.19416140019893646), ('tadelt', 0.19345679879188538)] anwachsen 0
increase [('Anson', 0.229688361287117), ('Den_Streckenrekord', 0.2033858597278595), ('haelt', 0.20254459977149963), ('segelnden', 0.20200115442276), ('Haendchen', 0.2014794945716858), ('segeln', 0.19691847264766693), ('geschlagenen', 0.19678987562656403), ('australische', 0.194381445646286), ('australischen', 0.19416140019893646), ('tadelt', 0.19345679879188538)] steigen 0
increase [('Anson', 0.229688361287117), ('Den_Streckenrekord', 0.2033858597278595), ('haelt', 0.20254459977149963), ('segelnden', 0.20200115442276), ('Haendchen', 0.2014794945716858), ('segeln', 0.19691847264766693), ('geschlagenen', 0.19678987562656403), ('australische', 0.194381445646286), ('australischen', 0.19416140019893646), ('tadelt', 0.19345679879188538)] steigern 0
increase [('Anson', 0.229688361287117), ('Den_Streckenrekord', 0.2033858597278595), ('haelt', 0.20254459977149963), ('segelnden', 0.20200115442276), ('Haendchen', 0.2014794945716858), ('segeln', 0.19691847264766693), ('geschlagenen', 0.19678987562656403), ('australische', 0.194381445646286), ('australischen', 0.19416140019893646), ('tadelt', 0.19345679879188538)] Wachsen 0
increase [('Anson', 0.229688361287117), ('Den_Streckenrekord', 0.2033858597278595), ('haelt', 0.20254459977149963), ('segelnden', 0.20200115442276), ('Haendchen', 0.2014794945716858), ('segeln', 0.19691847264766693), ('geschlagenen', 0.19678987562656403), ('australische', 0.194381445646286), ('australischen', 0.19416140019893646), ('tadelt', 0.19345679879188538)] Zunahme 0
increase [('Anson', 0.229688361287117), ('Den_Streckenrekord', 0.2033858597278595), ('haelt', 0.20254459977149963), ('segelnden', 0.20200115442276), ('Haendchen', 0.2014794945716858), ('segeln', 0.19691847264766693), ('geschlagenen', 0.19678987562656403), ('australische', 0.194381445646286), ('australischen', 0.19416140019893646), ('tadelt', 0.19345679879188538)] Steigerung 0
increase [('Anson', 0.229688361287117), ('Den_Streckenrekord', 0.2033858597278595), ('haelt', 0.20254459977149963), ('segelnden', 0.20200115442276), ('Haendchen', 0.2014794945716858), ('segeln', 0.19691847264766693), ('geschlagenen', 0.19678987562656403), ('australische', 0.194381445646286), ('australischen', 0.19416140019893646), ('tadelt', 0.19345679879188538)] Zunahme 0
increase [('Anson', 0.229688361287117), ('Den_Streckenrekord', 0.2033858597278595), ('haelt', 0.20254459977149963), ('segelnden', 0.20200115442276), ('Haendchen', 0.2014794945716858), ('segeln', 0.19691847264766693), ('geschlagenen', 0.19678987562656403), ('australische', 0.194381445646286), ('australischen', 0.19416140019893646), ('tadelt', 0.19345679879188538)] Anstieg 0
increase [('Anson', 0.229688361287117), ('Den_Streckenrekord', 0.2033858597278595), ('haelt', 0.20254459977149963), ('segelnden', 0.20200115442276), ('Haendchen', 0.2014794945716858), ('segeln', 0.19691847264766693), ('geschlagenen', 0.19678987562656403), ('australische', 0.194381445646286), ('australischen', 0.19416140019893646), ('tadelt', 0.19345679879188538)] Wachstum 0
increase [('Anson', 0.229688361287117), ('Den_Streckenrekord', 0.2033858597278595), ('haelt', 0.20254459977149963), ('segelnden', 0.20200115442276), ('Haendchen', 0.2014794945716858), ('segeln', 0.19691847264766693), ('geschlagenen', 0.19678987562656403), ('australische', 0.194381445646286), ('australischen', 0.19416140019893646), ('tadelt', 0.19345679879188538)] Wachsen 0
increase [('Anson', 0.229688361287117), ('Den_Streckenrekord', 0.2033858597278595), ('haelt', 0.20254459977149963), ('segelnden', 0.20200115442276), ('Haendchen', 0.2014794945716858), ('segeln', 0.19691847264766693), ('geschlagenen', 0.19678987562656403), ('australische', 0.194381445646286), ('australischen', 0.19416140019893646), ('tadelt', 0.19345679879188538)] steigern 0
INFORMATION [('Hardys', 0.26206281781196594), ('behinderter', 0.24403062462806702), ('Arbeitsministeriums', 0.24211104214191437), ('DUH', 0.2391146719455719), ('Trisomie_21', 0.23239946365356445), ('abbildeten', 0.23097284138202667), ('kranker', 0.22912010550498962), ('Jugendamtes', 0.22856535017490387), ('Jugendaemter', 0.22751601040363312), ('Fluggesellschaft_Air', 0.22189563512802124)] information 0
INFORMATION [('Hardys', 0.26206281781196594), ('behinderter', 0.24403062462806702), ('Arbeitsministeriums', 0.24211104214191437), ('DUH', 0.2391146719455719), ('Trisomie_21', 0.23239946365356445), ('abbildeten', 0.23097284138202667), ('kranker', 0.22912010550498962), ('Jugendamtes', 0.22856535017490387), ('Jugendaemter', 0.22751601040363312), ('Fluggesellschaft_Air', 0.22189563512802124)] Auskunft 0
Instant [('AC', 0.25862911343574524), ('Italien', 0.2575492560863495), ('konventionell_angetriebenen', 0.2540346384048462), ('unangefochten_Spitze', 0.2494940161705017), ('Radio_Shack', 0.24444736540317535), ('Dyane', 0.24440345168113708), ('F4', 0.24374689161777496), ('GT-Rennen', 0.24355371296405792), ('Siebter_Gesamtwertung', 0.24259831011295319), ('Tecno', 0.24137049913406372)] augenblicklich 0
Instant [('AC', 0.25862911343574524), ('Italien', 0.2575492560863495), ('konventionell_angetriebenen', 0.2540346384048462), ('unangefochten_Spitze', 0.2494940161705017), ('Radio_Shack', 0.24444736540317535), ('Dyane', 0.24440345168113708), ('F4', 0.24374689161777496), ('GT-Rennen', 0.24355371296405792), ('Siebter_Gesamtwertung', 0.24259831011295319), ('Tecno', 0.24137049913406372)] momentan 0
Instant [('AC', 0.25862911343574524), ('Italien', 0.2575492560863495), ('konventionell_angetriebenen', 0.2540346384048462), ('unangefochten_Spitze', 0.2494940161705017), ('Radio_Shack', 0.24444736540317535), ('Dyane', 0.24440345168113708), ('F4', 0.24374689161777496), ('GT-Rennen', 0.24355371296405792), ('Siebter_Gesamtwertung', 0.24259831011295319), ('Tecno', 0.24137049913406372)] Instant 0
Instant [('AC', 0.25862911343574524), ('Italien', 0.2575492560863495), ('konventionell_angetriebenen', 0.2540346384048462), ('unangefochten_Spitze', 0.2494940161705017), ('Radio_Shack', 0.24444736540317535), ('Dyane', 0.24440345168113708), ('F4', 0.24374689161777496), ('GT-Rennen', 0.24355371296405792), ('Siebter_Gesamtwertung', 0.24259831011295319), ('Tecno', 0.24137049913406372)] dringend 0
Instant [('AC', 0.25862911343574524), ('Italien', 0.2575492560863495), ('konventionell_angetriebenen', 0.2540346384048462), ('unangefochten_Spitze', 0.2494940161705017), ('Radio_Shack', 0.24444736540317535), ('Dyane', 0.24440345168113708), ('F4', 0.24374689161777496), ('GT-Rennen', 0.24355371296405792), ('Siebter_Gesamtwertung', 0.24259831011295319), ('Tecno', 0.24137049913406372)] Augenblick 0
Instant [('AC', 0.25862911343574524), ('Italien', 0.2575492560863495), ('konventionell_angetriebenen', 0.2540346384048462), ('unangefochten_Spitze', 0.2494940161705017), ('Radio_Shack', 0.24444736540317535), ('Dyane', 0.24440345168113708), ('F4', 0.24374689161777496), ('GT-Rennen', 0.24355371296405792), ('Siebter_Gesamtwertung', 0.24259831011295319), ('Tecno', 0.24137049913406372)] Augenblick 0
Instant [('AC', 0.25862911343574524), ('Italien', 0.2575492560863495), ('konventionell_angetriebenen', 0.2540346384048462), ('unangefochten_Spitze', 0.2494940161705017), ('Radio_Shack', 0.24444736540317535), ('Dyane', 0.24440345168113708), ('F4', 0.24374689161777496), ('GT-Rennen', 0.24355371296405792), ('Siebter_Gesamtwertung', 0.24259831011295319), ('Tecno', 0.24137049913406372)] moment 0
integer [('Nachbarkreis', 0.24734888970851898), ('landschaftlich_reizvollen', 0.245680034160614), ('bisherigen_Stadtgemeinden', 0.24545280635356903), ('Partnerlandkreis', 0.24230444431304932), ('Zuge_Gemeindegebietsreform', 0.2343275249004364), ('Dem_Kreistag', 0.23416444659233093), ('Landkreis_Kamenz', 0.2323126196861267), ('gebuertig', 0.2302514761686325), ('dahin_selbststaendige', 0.23003074526786804), ('Landkreis_Anhalt-Zerbst', 0.22891581058502197)] Ganzzahl 0
interim [('Merians', 0.217088982462883), ('Abzuegen', 0.21257387101650238), ('Duerers', 0.20803262293338776), ('Schmitts', 0.20269761979579926), ('Spinnerin', 0.20106752216815948), ('Grafiken_Zeichnungen', 0.1959971785545349), ('Uderzo', 0.19509491324424744), ('Zeichnung', 0.1946556270122528), ('Cosmographia', 0.19269287586212158), ('nackte_Wahrheit', 0.19110950827598572)] Zwischenzeitlich 0
interim [('Merians', 0.217088982462883), ('Abzuegen', 0.21257387101650238), ('Duerers', 0.20803262293338776), ('Schmitts', 0.20269761979579926), ('Spinnerin', 0.20106752216815948), ('Grafiken_Zeichnungen', 0.1959971785545349), ('Uderzo', 0.19509491324424744), ('Zeichnung', 0.1946556270122528), ('Cosmographia', 0.19269287586212158), ('nackte_Wahrheit', 0.19110950827598572)] Zwischenzeit 0
interim [('Merians', 0.217088982462883), ('Abzuegen', 0.21257387101650238), ('Duerers', 0.20803262293338776), ('Schmitts', 0.20269761979579926), ('Spinnerin', 0.20106752216815948), ('Grafiken_Zeichnungen', 0.1959971785545349), ('Uderzo', 0.19509491324424744), ('Zeichnung', 0.1946556270122528), ('Cosmographia', 0.19269287586212158), ('nackte_Wahrheit', 0.19110950827598572)] Interim 0
interlude [('Fussball-Weltmeisterschaft_1986', 0.2420545369386673), ('Fussball-Europameisterschaft_1980', 0.22792187333106995), ('Hasebe', 0.2214541882276535), ('Preisbindung', 0.2197379469871521), ('Fussball-Weltmeisterschaft_1978', 0.21707576513290405), ('Nistelrooy', 0.21465176343917847), ('Fussball-Weltmeisterschaften', 0.21289955079555511), ('Torschuetzenkoenig', 0.21191129088401794), ('Rekordtorschuetze', 0.21128250658512115), ('Mitchell_Weiser', 0.20963317155838013)] Zwischenspiel 0
intermission [('Wald_Fontainebleau', 0.24001291394233704), ('Meijer', 0.23025842010974884), ('Zanon', 0.22888286411762238), ('Kouros', 0.2276250123977661), ('Enzmann', 0.22495037317276), ('Lattes', 0.22360049188137054), ('Benito', 0.22099556028842926), ('Bardon', 0.2204076051712036), ('Andri', 0.21890127658843994), ('Lieshout', 0.21881675720214844)] Unterbrechung 0
intermission [('Wald_Fontainebleau', 0.24001291394233704), ('Meijer', 0.23025842010974884), ('Zanon', 0.22888286411762238), ('Kouros', 0.2276250123977661), ('Enzmann', 0.22495037317276), ('Lattes', 0.22360049188137054), ('Benito', 0.22099556028842926), ('Bardon', 0.2204076051712036), ('Andri', 0.21890127658843994), ('Lieshout', 0.21881675720214844)] pause 0
interregnum [('derzeitigem_Erkenntnisstand', 0.21960236132144928), ('Viera', 0.20868997275829315), ('Guarani', 0.20045237243175507), ('Fussball-Weltmeisterschaft_1974', 0.19981570541858673), ('atypischen', 0.19918228685855865), ('geographischen_Verbreitung', 0.19908228516578674), ('Uebergangsgebiet', 0.19850312173366547), ('Vorliegen', 0.1982838213443756), ('Suedost', 0.19756528735160828), ('Ermittlung', 0.19754070043563843)] pause 0
interregnum [('derzeitigem_Erkenntnisstand', 0.21960236132144928), ('Viera', 0.20868997275829315), ('Guarani', 0.20045237243175507), ('Fussball-Weltmeisterschaft_1974', 0.19981570541858673), ('atypischen', 0.19918228685855865), ('geographischen_Verbreitung', 0.19908228516578674), ('Uebergangsgebiet', 0.19850312173366547), ('Vorliegen', 0.1982838213443756), ('Suedost', 0.19756528735160828), ('Ermittlung', 0.19754070043563843)] Unterbrechung 0
interregnum [('derzeitigem_Erkenntnisstand', 0.21960236132144928), ('Viera', 0.20868997275829315), ('Guarani', 0.20045237243175507), ('Fussball-Weltmeisterschaft_1974', 0.19981570541858673), ('atypischen', 0.19918228685855865), ('geographischen_Verbreitung', 0.19908228516578674), ('Uebergangsgebiet', 0.19850312173366547), ('Vorliegen', 0.1982838213443756), ('Suedost', 0.19756528735160828), ('Ermittlung', 0.19754070043563843)] Interregnum 0
Interruption [('36_Spieltagen', 0.25777995586395264), ('Qualifikationsrunde_spielten', 0.2525371015071869), ('bun', 0.2478194534778595), ('38_Spieltagen', 0.2442459911108017), ('Third_Division', 0.23307186365127563), ('Goblin', 0.23258274793624878), ('king', 0.23001624643802643), ('saga', 0.22995337843894958), ('Fahrers_Teams', 0.22703354060649872), ('englische_Fussballliga', 0.22542478144168854)] Unterbrechung 0
Interruption [('36_Spieltagen', 0.25777995586395264), ('Qualifikationsrunde_spielten', 0.2525371015071869), ('bun', 0.2478194534778595), ('38_Spieltagen', 0.2442459911108017), ('Third_Division', 0.23307186365127563), ('Goblin', 0.23258274793624878), ('king', 0.23001624643802643), ('saga', 0.22995337843894958), ('Fahrers_Teams', 0.22703354060649872), ('englische_Fussballliga', 0.22542478144168854)] Unterbrechung 0
interval [('Region_Hovedstaden', 0.2122599482536316), ('tschadische', 0.21210195124149323), ('Moderate', 0.20921923220157623), ('nationaler_Minderheiten', 0.20902477204799652), ('Ueruemqi', 0.2089996039867401), ('Tessin', 0.20837163925170898), ('Brig', 0.208296000957489), ('Monatsbeginn', 0.20756876468658447), ('Inselinnere', 0.20707106590270996), ('Zonen_eingeteilt', 0.20421189069747925)] Abstand 0
interval [('Region_Hovedstaden', 0.2122599482536316), ('tschadische', 0.21210195124149323), ('Moderate', 0.20921923220157623), ('nationaler_Minderheiten', 0.20902477204799652), ('Ueruemqi', 0.2089996039867401), ('Tessin', 0.20837163925170898), ('Brig', 0.208296000957489), ('Monatsbeginn', 0.20756876468658447), ('Inselinnere', 0.20707106590270996), ('Zonen_eingeteilt', 0.20421189069747925)] Zwischenraum 0
interval [('Region_Hovedstaden', 0.2122599482536316), ('tschadische', 0.21210195124149323), ('Moderate', 0.20921923220157623), ('nationaler_Minderheiten', 0.20902477204799652), ('Ueruemqi', 0.2089996039867401), ('Tessin', 0.20837163925170898), ('Brig', 0.208296000957489), ('Monatsbeginn', 0.20756876468658447), ('Inselinnere', 0.20707106590270996), ('Zonen_eingeteilt', 0.20421189069747925)] Intervall 0
interval [('Region_Hovedstaden', 0.2122599482536316), ('tschadische', 0.21210195124149323), ('Moderate', 0.20921923220157623), ('nationaler_Minderheiten', 0.20902477204799652), ('Ueruemqi', 0.2089996039867401), ('Tessin', 0.20837163925170898), ('Brig', 0.208296000957489), ('Monatsbeginn', 0.20756876468658447), ('Inselinnere', 0.20707106590270996), ('Zonen_eingeteilt', 0.20421189069747925)] Intervall 0
IOTA [('Dekanate', 0.2166343778371811), ('Instrumentalensembles', 0.21557539701461792), ('Titus_Andronicus', 0.21163122355937958), ('Brauchs', 0.20496417582035065), ('Tanzsportverein', 0.20378823578357697), ('Cressida', 0.20366035401821136), ('Kinderchors', 0.20090653002262115), ('ALZ', 0.19895073771476746), ('Musikern_Saengern', 0.1981744021177292), ('Verwechslungen', 0.1977088898420334)] Jota 0
Irrational [('Kermani', 0.22789396345615387), ('Wahrscheinlichkeit', 0.22632122039794922), ('Atombombentest', 0.22083541750907898), ('blieb_folgenlos', 0.21111436188220978), ('Militaer-Weltmeisterschaft', 0.21009530127048492), ('Ausgleichsmandaten', 0.2091955989599228), ('Aussetzung', 0.20787076652050018), ('Fechtweltmeisterschaften', 0.2078648954629898), ('Ueberschneidung', 0.20726972818374634), ('Okot', 0.20437346398830414)] irrational 0
Irrational [('Kermani', 0.22789396345615387), ('Wahrscheinlichkeit', 0.22632122039794922), ('Atombombentest', 0.22083541750907898), ('blieb_folgenlos', 0.21111436188220978), ('Militaer-Weltmeisterschaft', 0.21009530127048492), ('Ausgleichsmandaten', 0.2091955989599228), ('Aussetzung', 0.20787076652050018), ('Fechtweltmeisterschaften', 0.2078648954629898), ('Ueberschneidung', 0.20726972818374634), ('Okot', 0.20437346398830414)] irrational 0
Iss [('Walter_Scott', 0.222893625497818), ('wichtige_Quelle', 0.2227795273065567), ('Thackeray', 0.2205834537744522), ('Trinkkultur', 0.2187104970216751), ('Kropotkin', 0.2142373025417328), ('Bundesstaat_Montana', 0.21203507483005524), ('Arizona-Territorium', 0.21079622209072113), ('Kt', 0.21061858534812927), ('Bekannte_Persoenlichkeiten', 0.21034085750579834), ('Wirtschaftsnachrichten_derStandardat', 0.20929430425167084)] ISS 0
jack [('Lietzensee', 0.27395758032798767), ('Rivière', 0.24322056770324707), ('durchfliesst', 0.2422294318675995), ('Wern', 0.23414203524589539), ('Hammerweiher', 0.23277868330478668), ('Emirates_Stadium', 0.23135988414287567), ('Petersberg', 0.23095467686653137), ('Sumpfgelaende', 0.2261343151330948), ('Vereinsgelaende', 0.22435276210308075), ('Sterkrader', 0.222740039229393)] Wagenheber 0
jack [('Lietzensee', 0.27395758032798767), ('Rivière', 0.24322056770324707), ('durchfliesst', 0.2422294318675995), ('Wern', 0.23414203524589539), ('Hammerweiher', 0.23277868330478668), ('Emirates_Stadium', 0.23135988414287567), ('Petersberg', 0.23095467686653137), ('Sumpfgelaende', 0.2261343151330948), ('Vereinsgelaende', 0.22435276210308075), ('Sterkrader', 0.222740039229393)] Bube 0
jack [('Lietzensee', 0.27395758032798767), ('Rivière', 0.24322056770324707), ('durchfliesst', 0.2422294318675995), ('Wern', 0.23414203524589539), ('Hammerweiher', 0.23277868330478668), ('Emirates_Stadium', 0.23135988414287567), ('Petersberg', 0.23095467686653137), ('Sumpfgelaende', 0.2261343151330948), ('Vereinsgelaende', 0.22435276210308075), ('Sterkrader', 0.222740039229393)] Buchse 0
jack [('Lietzensee', 0.27395758032798767), ('Rivière', 0.24322056770324707), ('durchfliesst', 0.2422294318675995), ('Wern', 0.23414203524589539), ('Hammerweiher', 0.23277868330478668), ('Emirates_Stadium', 0.23135988414287567), ('Petersberg', 0.23095467686653137), ('Sumpfgelaende', 0.2261343151330948), ('Vereinsgelaende', 0.22435276210308075), ('Sterkrader', 0.222740039229393)] hans 0
JAR [('Ostseekueste', 0.2153666466474533), ('Hauptstaedten', 0.2150624394416809), ('Kontingenten', 0.21190747618675232), ('Schlafwagen', 0.20894506573677063), ('Sondermarken', 0.20854315161705017), ('Landkreise', 0.20837804675102234), ('Truppenkontingente', 0.20481553673744202), ('Kurzstrecken', 0.20078961551189423), ('Republikanische_Partei', 0.19955796003341675), ('zeitlichen_Abstand', 0.19765786826610565)] Glas 0
Joule [('4,69', 0.26513808965682983), ('16,1', 0.25811445713043213), ('6,59', 0.2556600570678711), ('11,9', 0.2501164972782135), ('18,2', 0.24381095170974731), ('22,9', 0.24346178770065308), ('8,3', 0.24320246279239655), ('0,69', 0.23948635160923004), ('15,8', 0.2382729947566986), ('14,7', 0.23481079936027527)] Joule 0
Jug [('Planungsstadium', 0.24785806238651276), ('britischen_Royal', 0.21955996751785278), ('Menschenfleisch', 0.2181304544210434), ('vakanten', 0.2149200290441513), ('Teamleitung', 0.21282517910003662), ('sinnvoll_waere', 0.21045872569084167), ('Erwaegung', 0.20816588401794434), ('laufenden_Vertrages', 0.20653875172138214), ('getroffenen_Massnahmen', 0.20649871230125427), ('ernsthaft_Betracht', 0.20437784492969513)] Kanne 0
Jug [('Planungsstadium', 0.24785806238651276), ('britischen_Royal', 0.21955996751785278), ('Menschenfleisch', 0.2181304544210434), ('vakanten', 0.2149200290441513), ('Teamleitung', 0.21282517910003662), ('sinnvoll_waere', 0.21045872569084167), ('Erwaegung', 0.20816588401794434), ('laufenden_Vertrages', 0.20653875172138214), ('getroffenen_Massnahmen', 0.20649871230125427), ('ernsthaft_Betracht', 0.20437784492969513)] Krug 0
Jug [('Planungsstadium', 0.24785806238651276), ('britischen_Royal', 0.21955996751785278), ('Menschenfleisch', 0.2181304544210434), ('vakanten', 0.2149200290441513), ('Teamleitung', 0.21282517910003662), ('sinnvoll_waere', 0.21045872569084167), ('Erwaegung', 0.20816588401794434), ('laufenden_Vertrages', 0.20653875172138214), ('getroffenen_Massnahmen', 0.20649871230125427), ('ernsthaft_Betracht', 0.20437784492969513)] Knast 0
KARAT [('Koenigserhebung', 0.26025351881980896), ('Kildare', 0.24586522579193115), ('Douglas-Hamilton', 0.2342240959405899), ('aelterer_Halbbruder', 0.23379254341125488), ('Einsiedlerin', 0.23285356163978577), ('britischen_Thronfolgers', 0.22738228738307953), ('Kleopatra_III', 0.22444359958171844), ('Byrne', 0.22404788434505463), ('Stifts_St', 0.22339414060115814), ('Translatio', 0.22192686796188354)] Karat 0
Keg [('Beiratsmitglieder', 0.22534328699111938), ('auslaufender_Vertrag', 0.22469696402549744), ('EU-Verkehrskommissar_Siim', 0.221209317445755), ('Hareide', 0.22054801881313324), ('UBB', 0.21819132566452026), ('Boot_holen', 0.2165777087211609), ('Europa-Wahl', 0.21487171947956085), ('Artemis', 0.2145422101020813), ('Falle_Sieges', 0.21007521450519562), ('straeuben', 0.20980754494667053)] Fass 0
Kelvin [('vertragen', 0.22034196555614471), ('Zeitlang', 0.20094755291938782), ('Unterwaesche', 0.1999562531709671), ('1960er-', 0.1997559368610382), ('Strumpfhosen', 0.19577227532863617), ('Mittelpunkt', 0.19248946011066437), ('Nordschweiz', 0.19047227501869202), ('wirbelten', 0.1885623335838318), ('Flugbegleiterin', 0.18841394782066345), ('Kreise', 0.186062291264534)] Kelvin 0
KETTLE [('sowjetischen_Streitkraefte', 0.2288256585597992), ('Lutetia', 0.225905641913414), ('moeglicher_Standort', 0.21085025370121002), ('Snofrus', 0.2096046805381775), ('Kaisers_Diokletian', 0.2076362669467926), ('Versammlungsplatz', 0.20401617884635925), ('Bundespraesident_Horst', 0.20396454632282257), ('boeotische', 0.20145827531814575), ('Hızır', 0.2011614292860031), ('Boris_Jelzin', 0.20104488730430603)] Kessel 0
KETTLE [('sowjetischen_Streitkraefte', 0.2288256585597992), ('Lutetia', 0.225905641913414), ('moeglicher_Standort', 0.21085025370121002), ('Snofrus', 0.2096046805381775), ('Kaisers_Diokletian', 0.2076362669467926), ('Versammlungsplatz', 0.20401617884635925), ('Bundespraesident_Horst', 0.20396454632282257), ('boeotische', 0.20145827531814575), ('Hızır', 0.2011614292860031), ('Boris_Jelzin', 0.20104488730430603)] Kochtopf 0
Kilobyte [('Geschichtsforschung', 0.22278794646263123), ('bergischen_Amt', 0.2194996476173401), ('NSG', 0.2181234061717987), ('Miselohe', 0.21578454971313477), ('Erschwerend_kommt', 0.20959147810935974), ('Herzogtums_Berg', 0.2036767303943634), ('Fuerstbistum_Basel', 0.20124350488185883), ('ehemaliges_roemisches', 0.19889283180236816), ('neu_hinzugekommenen', 0.1961027830839157), ('Mettendorf', 0.19362317025661469)] Kilobyte 0
Kilobyte [('Geschichtsforschung', 0.22278794646263123), ('bergischen_Amt', 0.2194996476173401), ('NSG', 0.2181234061717987), ('Miselohe', 0.21578454971313477), ('Erschwerend_kommt', 0.20959147810935974), ('Herzogtums_Berg', 0.2036767303943634), ('Fuerstbistum_Basel', 0.20124350488185883), ('ehemaliges_roemisches', 0.19889283180236816), ('neu_hinzugekommenen', 0.1961027830839157), ('Mettendorf', 0.19362317025661469)] Kilobyte 0
Lapse [('Einwohner_pro', 0.21326115727424622), ('Flaeche_Marktgemeinde', 0.21240177750587463), ('Den_Hauptteil', 0.20973756909370422), ('Orchidaceae', 0.20601975917816162), ('doerflichen_Lebens', 0.20533250272274017), ('dienten', 0.20326843857765198), ('Aufhaengen', 0.2017766535282135), ('gmina_miejsko-wiejska', 0.19656170904636383), ('Bevoelkerungsdichte_betrug', 0.19030411541461945), ('Denkmalen', 0.1901688575744629)] Entgleisung 0
Last [('Pharmazie', 0.21089494228363037), ('produzierenden_Gewerbe', 0.2106248140335083), ('sozialversicherungspflichtig_Beschaeftigte', 0.20694264769554138), ('Dekade', 0.20214931666851044), ('chemische_Reaktionen', 0.19346201419830322), ('zentraleuropaeischen', 0.19237717986106873), ('Vermoegenswert', 0.19164523482322693), ('heiligen_Gral', 0.18774910271167755), ('Laendern', 0.18705442547798157), ('Geschaeftsjahren', 0.1851089745759964)] letzter 0
Last [('Pharmazie', 0.21089494228363037), ('produzierenden_Gewerbe', 0.2106248140335083), ('sozialversicherungspflichtig_Beschaeftigte', 0.20694264769554138), ('Dekade', 0.20214931666851044), ('chemische_Reaktionen', 0.19346201419830322), ('zentraleuropaeischen', 0.19237717986106873), ('Vermoegenswert', 0.19164523482322693), ('heiligen_Gral', 0.18774910271167755), ('Laendern', 0.18705442547798157), ('Geschaeftsjahren', 0.1851089745759964)] letzter 0
Last [('Pharmazie', 0.21089494228363037), ('produzierenden_Gewerbe', 0.2106248140335083), ('sozialversicherungspflichtig_Beschaeftigte', 0.20694264769554138), ('Dekade', 0.20214931666851044), ('chemische_Reaktionen', 0.19346201419830322), ('zentraleuropaeischen', 0.19237717986106873), ('Vermoegenswert', 0.19164523482322693), ('heiligen_Gral', 0.18774910271167755), ('Laendern', 0.18705442547798157), ('Geschaeftsjahren', 0.1851089745759964)] letzter 0
Last [('Pharmazie', 0.21089494228363037), ('produzierenden_Gewerbe', 0.2106248140335083), ('sozialversicherungspflichtig_Beschaeftigte', 0.20694264769554138), ('Dekade', 0.20214931666851044), ('chemische_Reaktionen', 0.19346201419830322), ('zentraleuropaeischen', 0.19237717986106873), ('Vermoegenswert', 0.19164523482322693), ('heiligen_Gral', 0.18774910271167755), ('Laendern', 0.18705442547798157), ('Geschaeftsjahren', 0.1851089745759964)] letzter 0
Last [('Pharmazie', 0.21089494228363037), ('produzierenden_Gewerbe', 0.2106248140335083), ('sozialversicherungspflichtig_Beschaeftigte', 0.20694264769554138), ('Dekade', 0.20214931666851044), ('chemische_Reaktionen', 0.19346201419830322), ('zentraleuropaeischen', 0.19237717986106873), ('Vermoegenswert', 0.19164523482322693), ('heiligen_Gral', 0.18774910271167755), ('Laendern', 0.18705442547798157), ('Geschaeftsjahren', 0.1851089745759964)] letzter 0
